Beats Ear Buds Case,0.7209,0.8323,-1.7793,-5.8245,-12.0345,-15.7741,-29.6812,-18.6941
Spatula,0.2459,0.5925,-0.5863,-1.3017,-3.1327,-3.4042,-6.6726,-4.0551
Key,0.4579,0.5009,-1.1034,-2.6595,-4.2615,-5.0137,-9.6515,-6.3435
Wallet,0.8066,0.9466,-1.7671,-6.4903,-11.3364,-17.3186,-31.7944,-20.8713
Glass,0.5571,0.8168,-1.5750,-4.1696,-8.2463,-10.6729,-20.1369,-12.7631
Trimmer,0.2987,0.6175,-0.9552,-2.1579,-5.0393,-5.8024,-11.2481,-7.0154
Indian Candle Holder,0.9473,0.6190,-1.5789,-5.0996,-6.2837,-9.7281,-18.1422,-13.7949
Scissors,0.4805,0.4239,-1.1939,-3.2408,-3.4407,-4.1694,-7.9744,-5.7898
Spoon,0.6190,0.6080,-1.6150,-4.8320,-6.4379,-7.5048,-14.4893,-9.9301
Heart Candy,0.9250,0.7486,-1.7937,-9.0774,-7.4543,-13.4179,-24.5357,-18.2594
Hair Comb,0.9907,0.7833,-1.8364,-10.8211,-11.9634,-20.9595,-37.4900,-26.9004
Hair Comb Horizontal,0.2420,0.8251,-0.9275,-2.0485,-7.7514,-8.2111,-16.1926,-9.2429
